Job_id,Job_Title,Company,Skill,Experience,No_of_Skills,Lang_score,stars,Age,Link
29,Data Analysis & Machine Learning Postdoctoral Researcher,Lawrence Livermore National Laboratory,"{TensorFlow, Machine Learning, Git, Python, SVN}","{1, 1, 3, 1, 5}",5,"{0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.45454545454545453}",4.300000191,2,https://www.indeed.com/rc/clk?jk=fbe8ba212a66f66c&fccid=26727f1861532c63&vjs=3
30,Applied Machine Learning Scientist - Digital Imaging,Adobe,"{TensorFlow, JavaScript, React, Data Mining, Adobe Photoshop, Machine Learning, CSS, HTML5}","{4, 3, 4, 4, 1, 3, 2, 2}",8,"{0.17391304347826086, 0.13043478260869565, 0.17391304347826086, 0.17391304347826086, 0.043478260869565216, 0.13043478260869565, 0.08695652173913043, 0.08695652173913043}",4.300000191,30,https://www.indeed.com/rc/clk?jk=25c78fd15a1225c6&fccid=f89deb5a97c7738a&vjs=3
31,Machine Learning Scientist,Intuitive Surgical,"{TensorFlow, Machine Learning, R, Python, C/C++, SQL}","{1, 3, 3, 4, 3, 2}",6,"{0.0625, 0.1875, 0.1875, 0.25, 0.1875, 0.125}",3.799999952,30,https://www.indeed.com/rc/clk?jk=a4ad7885c2d9e171&fccid=485155ca34f4e0c7&vjs=3
33,Data Scientist/Sr. Scientific Programmer (Researcher 6),University of Minnesota,"{Machine Learning, Scripting, R, Perl, SQL, MATLAB, Python}","{1, 2, 2, 3, 1, 2, 1}",7,"{0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333}",4.199999809,30,https://www.indeed.com/rc/clk?jk=5fe3136ede9ececa&fccid=5c42f0ed4ae5b712&vjs=3
35,Machine Learning Intern (Summer 2019),Splunk,"{Splunk, Data Mining, Machine Learning, Data Science}","{3, 3, 4, 4}",4,"{0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857}",4.300000191,30,https://www.indeed.com/rc/clk?jk=e84451fb3b44e7af&fccid=aef928e89977f7f0&vjs=3
36,Data Scientist (Research Director),Southern Methodist University,{Grant Writing},{3},1,{1.0},4.199999809,30,https://www.indeed.com/rc/clk?jk=b39eca7b4aae31b0&fccid=5793e68a003f2fb6&vjs=3
37,Machine Learning Scientist II,Microsoft,"{Natural Language Processing, Hive, Spark, Microsoft Powerpoint, Machine Learning, Hadoop, MATLAB, Python}","{3, 4, 3, 4, 5, 2, 2, 2}",8,"{0.12, 0.16, 0.12, 0.16, 0.2, 0.08, 0.08, 0.08}",4.199999809,5,https://www.indeed.com/rc/clk?jk=b0b692b299eeeac4&fccid=734cb5a01ee60f80&vjs=3
38,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),Duke University and Duke University Health System,"{Data Mining, Statisical Analysis, Qualitative Research}","{2, 4, 1}",3,"{0.2857142857142857, 0.5714285714285714, 0.14285714285714285}",4,16,https://www.indeed.com/rc/clk?jk=0da5984107651519&fccid=686538d3cb10c608&vjs=3
39,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",Duke University and Duke University Health System,"{Java, R, SAS, Python, SQL, Tableau}","{1, 5, 2, 3, 3, 2}",6,"{0.0625, 0.3125, 0.125, 0.1875, 0.1875, 0.125}",4,16,https://www.indeed.com/rc/clk?jk=8efd80c5f5327d01&fccid=686538d3cb10c608&vjs=3
40,"Senior Data Scientist, Supply Chain",Coyote Logistics,"{AI, Quantitative Analysis, Microsoft SQL Server, Machine Learning, Visual Basic, R, SQL, .Net, C#, Python}","{3, 5, 4, 4, 4, 4, 3, 2, 4, 5}",10,"{0.07894736842105263, 0.13157894736842105, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.07894736842105263, 0.05263157894736842, 0.10526315789473684, 0.13157894736842105}",3.599999905,30,https://www.indeed.com/rc/clk?jk=3e8093be990019de&fccid=a74a0fbbfa36acbd&vjs=3
41,Machine Learning,Twitter,"{Big Data, Natural Language Processing, Spark, Machine Learning, Hadoop}","{2, 3, 1, 5, 5}",5,"{0.125, 0.1875, 0.0625, 0.3125, 0.3125}",3.900000095,30,https://www.indeed.com/rc/clk?jk=33f4f5ff144200dd&fccid=7a3824693ee1074b&vjs=3
42,Temporary Content Developer - Machine Learning,iD Tech,"{TensorFlow, Machine Learning, Python}","{2, 4, 2}",3,"{0.25, 0.5, 0.25}",4.5,1,https://www.indeed.com/rc/clk?jk=d693f99164a0652c&fccid=e10c55d179cada25&vjs=3
43,Machine Learning,Twitter,"{Big Data, Natural Language Processing, Spark, Machine Learning, Hadoop}","{4, 2, 4, 4, 5}",5,"{0.21052631578947367, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421}",3.900000095,30,https://www.indeed.com/rc/clk?jk=4cfe1424f1f243e7&fccid=7a3824693ee1074b&vjs=3
44,Computer Vision Scientist (Machine Learning),Canvas Technology,"{TensorFlow, Machine Learning, Image Processing, C/C++}","{1, 5, 1, 1}",4,"{0.125, 0.625, 0.125, 0.125}",,30,https://www.indeed.com/rc/clk?jk=2b684de7cdc40a2d&fccid=91531f080b85f54c&vjs=3
45,FamilySearch Machine Learning Annotation Specialist,The Church of Jesus Christ of Latter-day Saints,"{Machine Learning, Microsoft Powerpoint, Microsoft Office}","{3, 2, 4}",3,"{0.3333333333333333, 0.2222222222222222, 0.4444444444444444}",4.800000191,1,https://www.indeed.com/rc/clk?jk=72521a99687d16f4&fccid=7e408d96768a4a43&vjs=3
46,Machine Learning Research Scientist - Optics & Photonics Lab,Riverside Research,"{.Net, C#, Machine Learning, Software Development, MATLAB, Image Processing, Signal Processing, Python, C/C++}","{4, 4, 4, 2, 4, 2, 3, 3, 4}",9,"{0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.1, 0.1, 0.13333333333333333}",3.700000048,30,https://www.indeed.com/rc/clk?jk=779d3c6cf2ba01bf&fccid=d81796328c01c258&vjs=3
47,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,OpenAI,"{AI, Machine Learning}","{1, 2}",2,"{0.3333333333333333, 0.6666666666666666}",,18,https://www.indeed.com/rc/clk?jk=9bef042c0a49c9ec&fccid=c037aeb6086309d9&vjs=3
48,Entry-Level Data Scientist,IBM,"{Java, Data Mining, Machine Learning, Design Experience, Scripting, R, SAS, Python}","{5, 2, 5, 4, 1, 2, 2, 3}",8,"{0.20833333333333334, 0.08333333333333333, 0.20833333333333334, 0.16666666666666666, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.125}",3.900000095,1,https://www.indeed.com/rc/clk?jk=75cfae0095c2b2a6&fccid=de71a49b535e21cb&vjs=3
49,Trainee as Data Scientist (January to June 2019),Asendia Management SAS,"{Pentaho, Excel}","{3, 5}",2,"{0.375, 0.625}",,5,https://www.indeed.com/rc/clk?jk=053c823c0f398c55&fccid=0196d12881dbeaab&vjs=3
50,Data Scientist,T-Mobile,{Data Mining},{3},1,{1.0},4,1,https://www.indeed.com/rc/clk?jk=fedb44978921f4f7&fccid=d124dbfd3785b597&vjs=3
51,Data Scientist-Tchnlgy,Walmart,"{Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, DB2}","{3, 1, 3, 5, 3, 5, 2}",7,"{0.13636363636363635, 0.045454545454545456, 0.13636363636363635, 0.22727272727272727, 0.13636363636363635, 0.22727272727272727, 0.09090909090909091}",3.599999905,1,https://www.indeed.com/rc/clk?jk=0b9ad9290db1cbc0&fccid=822bc5d9a49270ea&vjs=3
53,Data Scientist,"NextEra Energy, Inc.","{Natural Language Processing, Machine Learning}","{1, 2}",2,"{0.3333333333333333, 0.6666666666666666}",3.799999952,3,https://www.indeed.com/rc/clk?jk=b0bb09d1f5f9f859&fccid=ee1723cae957f03e&vjs=3
54,Data Scientist - Life Sciences,Argonne National Laboratory,"{AI, Next Generation Sequencing, Machine Learning, Bioinformatics}","{3, 4, 3, 2}",4,"{0.25, 0.3333333333333333, 0.25, 0.16666666666666666}",4.300000191,7,https://www.indeed.com/rc/clk?jk=0ae3364fc390a035&fccid=5d1506a5df73a48e&vjs=3
55,Data Scientist,Walmart,"{Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, DB2}","{4, 5, 5, 2, 5, 5, 4}",7,"{0.13333333333333333, 0.16666666666666666, 0.16666666666666666, 0.06666666666666667, 0.16666666666666666, 0.16666666666666666, 0.13333333333333333}",3.599999905,7,https://www.indeed.com/rc/clk?jk=90db0e680e72105d&fccid=822bc5d9a49270ea&vjs=3
57,Data Scientist,Microsoft,"{.Net, Data Mining, C#, Machine Learning, R, C/C++, Python, SQL}","{3, 1, 3, 3, 1, 5, 2, 2}",8,"{0.15, 0.05, 0.15, 0.15, 0.05, 0.25, 0.1, 0.1}",4.199999809,10,https://www.indeed.com/rc/clk?jk=5e5f660fe4f20ea9&fccid=734cb5a01ee60f80&vjs=3
58,Data Scientist,Dell,"{Data Mining, Data Warehouse, R, SAS, Statisical Analysis, Python, SQL}","{1, 2, 4, 4, 5, 4, 1}",7,"{0.047619047619047616, 0.09523809523809523, 0.19047619047619047, 0.19047619047619047, 0.23809523809523808, 0.19047619047619047, 0.047619047619047616}",4,8,https://www.indeed.com/rc/clk?jk=41e48027cfc734b5&fccid=0918a251e6902f97&vjs=3
60,Data Scientist - Labor Planning & Analytics,Dicks Sporting Goods,"{Machine Learning, R, Microsoft Office, SQL, Alteryx, Data Warehouse, Python}","{4, 1, 5, 2, 3, 4, 4}",7,"{0.17391304347826086, 0.043478260869565216, 0.21739130434782608, 0.08695652173913043, 0.13043478260869565, 0.17391304347826086, 0.17391304347826086}",3.5,4,https://www.indeed.com/rc/clk?jk=2e91b90841f2ae9c&fccid=55a2bdb0a91b873d&vjs=3
61,Associate Data Scientist,Hallmark,"{Machine Learning, R, Perl, C/C++, SQL, Big Data, SPSS, MATLAB, Data Mining, Ruby, Hadoop, SAS, Tableau, Java, Spark, Git, Python, Data Science}","{4, 1, 2, 3, 5, 3, 4, 5, 3, 1, 5, 5, 4, 5, 5, 1, 4, 5}",18,"{0.06153846153846154, 0.015384615384615385, 0.03076923076923077, 0.046153846153846156, 0.07692307692307693, 0.046153846153846156, 0.06153846153846154, 0.07692307692307693, 0.046153846153846156, 0.015384615384615385, 0.07692307692307693, 0.07692307692307693, 0.06153846153846154, 0.07692307692307693, 0.07692307692307693, 0.015384615384615385, 0.06153846153846154, 0.07692307692307693}",3.900000095,10,https://www.indeed.com/rc/clk?jk=42bcf6e4c861c3ef&fccid=f6b7f1c44b44197c&vjs=3
62,D3 - Junior Data Scientist 1,Allstate,"{Machine Learning, R, Perl, SPSS, MATLAB, Statistical Software, Hadoop, SAS, Java, Python}","{1, 2, 4, 2, 4, 4, 2, 5, 1, 2}",10,"{0.037037037037037035, 0.07407407407407407, 0.14814814814814814, 0.07407407407407407, 0.14814814814814814, 0.14814814814814814, 0.07407407407407407, 0.18518518518518517, 0.037037037037037035, 0.07407407407407407}",3.799999952,14,https://www.indeed.com/rc/clk?jk=8b8e6b9036927def&fccid=3a71a4d2f7990a25&vjs=3
63,Data Scientist,L. L. Bean,"{R, Marketing, SAS, SQL, Python}","{2, 2, 4, 4, 2}",5,"{0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285}",4.199999809,15,https://www.indeed.com/rc/clk?jk=e1e17280e5f397d7&fccid=ce80ec5079d3411a&vjs=3
65,Data Scientist,Wunderman,"{Machine Learning, R, SAS, Python, SQL}","{2, 1, 3, 4, 5}",5,"{0.13333333333333333, 0.06666666666666667, 0.2, 0.26666666666666666, 0.3333333333333333}",3.900000095,13,https://www.indeed.com/rc/clk?jk=4b36b4e1cdb8a210&fccid=bfef2b2da6904e2a&vjs=3
66,Data Scientist (Corporate),MGM Resorts International,"{Data Mining, Statisical Analysis, Customer Service}","{4, 5, 1}",3,"{0.4, 0.5, 0.1}",4,4,https://www.indeed.com/rc/clk?jk=e1a8834f477888af&fccid=ffe2a8d347177024&vjs=3
67,Junior Data Scientist,Interactive Brokers,"{Java, AI, Machine Learning}","{2, 5, 3}",3,"{0.2, 0.5, 0.3}",3.299999952,30,https://www.indeed.com/rc/clk?jk=8449855ca5e0f751&fccid=6602679598abef38&vjs=3
68,D3 - Junior Data Scientist,Allstate,"{Machine Learning, R, Perl, SPSS, MATLAB, Statistical Software, Hadoop, SAS, Java, Python}","{5, 1, 4, 4, 3, 3, 1, 4, 4, 2}",10,"{0.16129032258064516, 0.03225806451612903, 0.12903225806451613, 0.12903225806451613, 0.0967741935483871, 0.0967741935483871, 0.03225806451612903, 0.12903225806451613, 0.12903225806451613, 0.06451612903225806}",3.799999952,30,https://www.indeed.com/rc/clk?jk=8ed0818ce79704e8&fccid=3a71a4d2f7990a25&vjs=3
69,Data Scientist II (Forecasting & Scheduling),Grubhub,"{Predictive Analytics, Hive, Spark, Machine Learning, Python, SQL, AWS}","{4, 4, 2, 4, 2, 3, 5}",7,"{0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.125, 0.20833333333333334}",3.299999952,28,https://www.indeed.com/rc/clk?jk=a3e5d7f3b24270cd&fccid=12e41f7040f168e8&vjs=3
70,Data Scientist,Amica Insurance Company,"{Business Intelligence, Data Mining, Machine Learning, R, SAS, Sentiment Analytics, SQL, SPSS, Data Science, Python}","{1, 3, 5, 3, 1, 5, 3, 3, 5, 4}",10,"{0.030303030303030304, 0.09090909090909091, 0.15151515151515152, 0.09090909090909091, 0.030303030303030304, 0.15151515151515152, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.12121212121212122}",3.900000095,13,https://www.indeed.com/rc/clk?jk=c9c9d40572c7e5ad&fccid=fe9f3e46b5a733c0&vjs=3
71,Data Scientist,UPMC,"{Machine Learning, Data Management, MATLAB, R, SAS}","{5, 3, 1, 2, 3}",5,"{0.35714285714285715, 0.21428571428571427, 0.07142857142857142, 0.14285714285714285, 0.21428571428571427}",3.799999952,4,https://www.indeed.com/rc/clk?jk=73ffc2b9ce409dab&fccid=b75dda97eecc3e82&vjs=3
72,Data Scientist,Hearts and Science,"{JavaScript, Machine Learning, XML, Hadoop, R, SQL, HTML5, Shell Scripting, CSS, Python, AWS}","{2, 5, 3, 1, 5, 4, 3, 5, 5, 3, 1}",11,"{0.05405405405405406, 0.13513513513513514, 0.08108108108108109, 0.02702702702702703, 0.13513513513513514, 0.10810810810810811, 0.08108108108108109, 0.13513513513513514, 0.13513513513513514, 0.08108108108108109, 0.02702702702702703}",,13,https://www.indeed.com/rc/clk?jk=10a5761c0f808c06&fccid=d1d9a6d98647aab4&vjs=3
73,Data Scientist,Hearts and Science,"{JavaScript, Machine Learning, XML, Hadoop, R, SQL, HTML5, Shell Scripting, CSS, Python, AWS}","{4, 3, 5, 3, 5, 2, 4, 4, 4, 4, 1}",11,"{0.10256410256410256, 0.07692307692307693, 0.1282051282051282, 0.07692307692307693, 0.1282051282051282, 0.05128205128205128, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.02564102564102564}",,13,https://www.indeed.com/rc/clk?jk=ea6d9c76bcb6e727&fccid=d1d9a6d98647aab4&vjs=3
74,"Data Scientist, International Programs",Operation Smile,"{Data Mining, Excel}","{4, 2}",2,"{0.6666666666666666, 0.3333333333333333}",4.599999905,5,https://www.indeed.com/rc/clk?jk=daec1126b3b53332&fccid=9336772be68ac5a4&vjs=3
75,Data Scientist (Python/R) – People Analytics - USDC,Deloitte,"{Data Mining, R, SAS, Sentiment Analytics, Microsoft Office, Tableau, Natural Language Processing, Python, Data Science}","{3, 5, 1, 2, 2, 5, 2, 3, 1}",9,"{0.125, 0.20833333333333334, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.20833333333333334, 0.08333333333333333, 0.125, 0.041666666666666664}",4,23,https://www.indeed.com/rc/clk?jk=e79269b077c1bae1&fccid=9e215d88a6b33622&vjs=3
76,Data Scientist,Sedgwick Claims Management Services,"{Machine Learning, R, SAS, Microsoft Office, SQL}","{3, 5, 4, 2, 5}",5,"{0.15789473684210525, 0.2631578947368421, 0.21052631578947367, 0.10526315789473684, 0.2631578947368421}",3.200000048,19,https://www.indeed.com/rc/clk?jk=4e4002177d650e24&fccid=a2b2b9c11fdf3f39&vjs=3
77,Data Scientist II,MetLife,"{Business Intelligence, Power BI, Tableau}","{4, 1, 5}",3,"{0.4, 0.1, 0.5}",3.900000095,11,https://www.indeed.com/rc/clk?jk=506321fb09ca757a&fccid=503cbddf55bc6990&vjs=3
78,Junior Data Scientist,Dow Jones,"{AI, Machine Learning, R, Python, SQL, Tableau}","{1, 2, 3, 4, 3, 1}",6,"{0.07142857142857142, 0.14285714285714285, 0.21428571428571427, 0.2857142857142857, 0.21428571428571427, 0.07142857142857142}",3.799999952,30,https://www.indeed.com/rc/clk?jk=4769b53c33286f2e&fccid=d2621f51dde471d3&vjs=3
79,"Data Scientist, Membership Analytics Job","BJs Wholesale Club, Inc.","{Data Mining, Machine Learning, Project Management, Azure, Google Cloud Platform, SAS, SQL, Cloud Computing, Data Warehouse, Python, AWS}","{2, 2, 5, 2, 2, 3, 3, 1, 3, 2, 1}",11,"{0.07692307692307693, 0.07692307692307693, 0.19230769230769232, 0.07692307692307693, 0.07692307692307693, 0.11538461538461539, 0.11538461538461539, 0.038461538461538464, 0.11538461538461539, 0.07692307692307693, 0.038461538461538464}",3.5,20,https://www.indeed.com/rc/clk?jk=7c780ee78671b1e5&fccid=d1e06ae7d9c9d329&vjs=3
