Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
231021355,7200Assignment1,University of Alberta - ECE 720 ,2019-12-31T03:46:45Z,2019-12-31T03:46:47Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/7200Assignment1,https://api.github.com/repos/alisajedi/7200Assignment1/commits,https://api.github.com/repos/alisajedi/7200Assignment1/languages,
13137076,akka,Akka Project,2013-09-26T23:48:45Z,2015-06-10T17:05:55Z,alisajedi,Other,False,0,0,0,0,https://api.github.com/repos/alisajedi/akka,https://api.github.com/repos/alisajedi/akka/commits,https://api.github.com/repos/alisajedi/akka/languages,Scala
38650695,alak,,2015-07-06T22:51:38Z,2015-07-06T22:51:38Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/alak,https://api.github.com/repos/alisajedi/alak/commits,https://api.github.com/repos/alisajedi/alak/languages,
25835093,AndroidElasticSearch,,2014-10-27T19:21:41Z,2014-10-23T19:46:53Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/AndroidElasticSearch,https://api.github.com/repos/alisajedi/AndroidElasticSearch/commits,https://api.github.com/repos/alisajedi/AndroidElasticSearch/languages,
86615435,App_BackEnd,,2017-03-29T18:22:23Z,2017-03-29T18:22:25Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/App_BackEnd,https://api.github.com/repos/alisajedi/App_BackEnd/commits,https://api.github.com/repos/alisajedi/App_BackEnd/languages,Python
50878577,as1,CMPUT 301 (W16Thursday) Lab Assignment 1,2016-02-01T23:16:38Z,2016-02-01T23:16:40Z,alisajedi,MIT License,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1,https://api.github.com/repos/alisajedi/as1/commits,https://api.github.com/repos/alisajedi/as1/languages,Java
50878869,as1-1,assignment 1 cmput 301 fuel tracker app,2016-02-01T23:22:30Z,2016-02-01T23:22:31Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-1,https://api.github.com/repos/alisajedi/as1-1/commits,https://api.github.com/repos/alisajedi/as1-1/languages,Java
50879055,as1-2,,2016-02-01T23:26:35Z,2016-02-01T23:26:36Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-2,https://api.github.com/repos/alisajedi/as1-2/commits,https://api.github.com/repos/alisajedi/as1-2/languages,Java
50879084,as1-3,301 Assignment 1,2016-02-01T23:27:37Z,2018-10-11T19:32:35Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-3,https://api.github.com/repos/alisajedi/as1-3/commits,https://api.github.com/repos/alisajedi/as1-3/languages,Java
50879253,as1-4,,2016-02-01T23:30:31Z,2016-03-14T18:14:50Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-4,https://api.github.com/repos/alisajedi/as1-4/commits,https://api.github.com/repos/alisajedi/as1-4/languages,HTML
50879518,as1-6,,2016-02-01T23:36:48Z,2016-02-01T23:36:49Z,alisajedi,Apache License 2.0,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-6,https://api.github.com/repos/alisajedi/as1-6/commits,https://api.github.com/repos/alisajedi/as1-6/languages,Java
50879605,as1-7,,2016-02-01T23:38:57Z,2016-02-01T23:38:58Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-7,https://api.github.com/repos/alisajedi/as1-7/commits,https://api.github.com/repos/alisajedi/as1-7/languages,Java
50879686,as1-8,CMPUT301 Assignment1 for hand-in 1369156,2016-02-01T23:40:21Z,2016-02-01T23:40:21Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-8,https://api.github.com/repos/alisajedi/as1-8/commits,https://api.github.com/repos/alisajedi/as1-8/languages,Java
50879741,as1-9,A fuel-tracking app for android devices,2016-02-01T23:41:26Z,2016-02-01T23:41:27Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as1-9,https://api.github.com/repos/alisajedi/as1-9/commits,https://api.github.com/repos/alisajedi/as1-9/languages,Java
50879839,as2-0,,2016-02-01T23:43:28Z,2016-03-05T04:39:01Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/as2-0,https://api.github.com/repos/alisajedi/as2-0/commits,https://api.github.com/repos/alisajedi/as2-0/languages,
50879997,assignment1,repository for my asin1,2016-02-01T23:46:55Z,2016-02-01T23:46:55Z,alisajedi,,True,0,0,0,0,https://api.github.com/repos/alisajedi/assignment1,https://api.github.com/repos/alisajedi/assignment1/commits,https://api.github.com/repos/alisajedi/assignment1/languages,Java
