Job_id,Job_Title,Company,Skill,Experience,No_of_Skills,Lang_score,stars,Age,Link
1,Data Scientist,Express Scripts,"{SAP, SQL}","{2, 1}",2,"{0.6667, 0.3333}",3.299999952,1,https://www.indeed.com/rc/clk?jk=6a105f495c36afe3&fccid=281a27deb89bbe92&vjs=3
3,Data Scientist,comScore,"{Data Mining, Data Management, R, SAS, SQL, STATA, SPSS, Data Analysis, Python}","{3, 4, 5, 2, 4, 2, 1, 1, 2}",9,"{0.125, 0.1667, 0.2083, 0.0833, 0.1667, 0.0833, 0.0417, 0.0417, 0.0833}",3.5,1,https://www.indeed.com/rc/clk?jk=e0aad317e6d45d9b&fccid=b39fb6f124ce8586&vjs=3
9,Bioinformatics Data Scientist,University of Idaho,"{Linux, R, C/C++, Python}","{1, 3, 1, 5}",4,"{0.1, 0.3, 0.1, 0.5}",4.199999809,1,https://www.indeed.com/rc/clk?jk=a6e45b6264f26b10&fccid=95ffa1338c01d3de&vjs=3
11,Data Scientist,The University of Pittsburgh,"{Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python}","{3, 1, 2, 1, 4, 2, 4, 3}",8,"{0.15, 0.05, 0.1, 0.05, 0.2, 0.1, 0.2, 0.15}",4.199999809,1,https://www.indeed.com/rc/clk?jk=8c8963cb38cd4907&fccid=1f92178814b05d89&vjs=3
12,Data Scientist,The University of Pittsburgh,"{Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python}","{5, 2, 3, 3, 3, 4, 3, 1}",8,"{0.2083, 0.0833, 0.125, 0.125, 0.125, 0.1667, 0.125, 0.0417}",4.199999809,1,https://www.indeed.com/rc/clk?jk=dffcee22fbc2647a&fccid=1f92178814b05d89&vjs=3
16,Enrollment Data Scientist & Econometrician,Florida Polytechnic University,"{Machine Learning, R, Statisical Analysis, SPSS, Statistical Software, Data Mining, Scala, Tableau, Java, ""Drivers License"", Python}","{3, 5, 4, 4, 5, 4, 4, 3, 1, 1, 5}",11,"{0.0769, 0.1282, 0.1026, 0.1026, 0.1282, 0.1026, 0.1026, 0.0769, 0.0256, 0.0256, 0.1282}",3.900000095,1,https://www.indeed.com/rc/clk?jk=392a25a4538255e0&fccid=dc35d3f5eff3380a&vjs=3
42,Temporary Content Developer - Machine Learning,iD Tech,"{TensorFlow, Machine Learning, Python}","{1, 4, 4}",3,"{0.1111, 0.4444, 0.4444}",4.5,1,https://www.indeed.com/rc/clk?jk=d693f99164a0652c&fccid=e10c55d179cada25&vjs=3
45,FamilySearch Machine Learning Annotation Specialist,The Church of Jesus Christ of Latter-day Saints,"{Machine Learning, Microsoft Powerpoint, Microsoft Office}","{3, 2, 3}",3,"{0.375, 0.25, 0.375}",4.800000191,1,https://www.indeed.com/rc/clk?jk=72521a99687d16f4&fccid=7e408d96768a4a43&vjs=3
48,Entry-Level Data Scientist,IBM,"{Java, Data Mining, Machine Learning, Design Experience, Scripting, R, SAS, Python}","{3, 1, 3, 1, 4, 5, 5, 3}",8,"{0.12, 0.04, 0.12, 0.04, 0.16, 0.2, 0.2, 0.12}",3.900000095,1,https://www.indeed.com/rc/clk?jk=75cfae0095c2b2a6&fccid=de71a49b535e21cb&vjs=3
50,Data Scientist,T-Mobile,{Data Mining},{1},1,{1.0},4,1,https://www.indeed.com/rc/clk?jk=fedb44978921f4f7&fccid=d124dbfd3785b597&vjs=3
51,Data Scientist-Tchnlgy,Walmart,"{Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, DB2}","{5, 1, 3, 4, 5, 1, 2}",7,"{0.2381, 0.0476, 0.1429, 0.1905, 0.2381, 0.0476, 0.0952}",3.599999905,1,https://www.indeed.com/rc/clk?jk=0b9ad9290db1cbc0&fccid=822bc5d9a49270ea&vjs=3
122,Principal Deep Learning Data Scientist,Teradata,"{Machine Learning, Image Processing}","{5, 1}",2,"{0.8333, 0.1667}",3.799999952,1,https://www.indeed.com/rc/clk?jk=e3e93f5ba996b697&fccid=ded9605952442cb4&vjs=3
131,Data Scientist,Smith Hanley Associates,"{Machine Learning, R, Python}","{2, 4, 2}",3,"{0.25, 0.5, 0.25}",4.099999905,1,https://www.indeed.com/rc/clk?jk=c28a4eddddf228fb&fccid=867d82af62a0e5c1&vjs=3
138,Sr Medical Economics Data Scientist,CareSource,"{Microsoft Powerpoint, R, SAS, Microsoft Office, Excel, SQL, Managed Care}","{1, 2, 2, 4, 4, 2, 2}",7,"{0.0588, 0.1176, 0.1176, 0.2353, 0.2353, 0.1176, 0.1176}",3.700000048,1,https://www.indeed.com/rc/clk?jk=686b624cdd7c4b69&fccid=2786c23b6238da7d&vjs=3
168,Data Scientist I - Agent Based Modeler (Java/Python),USAA,"{Java, Machine Learning, Python}","{5, 3, 4}",3,"{0.4167, 0.25, 0.3333}",4,1,https://www.indeed.com/rc/clk?jk=551178f123e1e160&fccid=3a1edc2d763c4288&vjs=3
258,Machine Learning Intern,Adobe,"{JavaScript, TensorFlow, Machine Learning, Hadoop, Big Data, SaaS, Software Development, REST, Python}","{3, 2, 3, 5, 2, 2, 1, 1, 3}",9,"{0.1364, 0.0909, 0.1364, 0.2273, 0.0909, 0.0909, 0.0455, 0.0455, 0.1364}",4.300000191,1,https://www.indeed.com/rc/clk?jk=ed8c1b96cc6d3f56&fccid=f89deb5a97c7738a&vjs=3
282,Data Scientist,Garmin,"{C/C++, MATLAB, Python}","{1, 1, 3}",3,"{0.2, 0.2, 0.6}",3.900000095,1,https://www.indeed.com/rc/clk?jk=3b528606ad17c27f&fccid=70a994275a3b9062&vjs=3
283,Data Scientist (Full Time) - United States,Cisco Systems,"{JavaScript, Data Mining, XML, Hadoop, R, Oracle, SAS, SQL, SPSS, Data Science, Python}","{4, 3, 5, 1, 3, 3, 1, 3, 4, 2, 1}",11,"{0.1333, 0.1, 0.1667, 0.0333, 0.1, 0.1, 0.0333, 0.1, 0.1333, 0.0667, 0.0333}",4.099999905,1,https://www.indeed.com/rc/clk?jk=dae3eccfdd142723&fccid=dfc44f3b8c44a6db&vjs=3
284,Associate Data Scientist,Day Zero Diagnostics,"{TensorFlow, Linux, Machine Learning, Git, Python, SQL}","{3, 4, 1, 3, 2, 2}",6,"{0.2, 0.2667, 0.0667, 0.2, 0.1333, 0.1333}",,1,https://www.indeed.com/rc/clk?jk=3b4349a5a2beb0a3&fccid=31a79e57308249ea&vjs=3
285,Data Scientist,GM Financial,"{R, SAS, Python, Microsoft Office}","{1, 3, 4, 3}",4,"{0.0909, 0.2727, 0.3636, 0.2727}",3.700000048,1,https://www.indeed.com/rc/clk?jk=ab0798420cd9783d&fccid=b6e80abbe732699d&vjs=3
